level	let_mev_cm2_mg	sigma_cm2_per_active_read_bit	sigma_ci95_low	sigma_ci95_high	failed_joint_samples	joint_samples	model
low	0.33461275054496176	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.3679140193036457	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.40452949082098744	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.4447890005757813	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.48905520987281836	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.5377268727287171	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.5912424278841669	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.6500839482997554	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.714781483712793	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.7859178353732842	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.8641338059702928	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.9501339720405169	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	1.0446930308574516	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	1.1486627789744865	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	1.2629797852852982	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	1.3886738277211363	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	1.5268771695835615	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	1.6788347590746675	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	1.845915443903066	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	2.0296243019878424	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	2.231616199336572	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	2.4537106972279603	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
