pvt_corner,tid_corner,desired_bit,node,strike_time_ns,strike_source,strike_sink,adverse_polarity,status,qcrit_fc,lower_no_fail_fc,upper_fail_fc,iterations
low_vdd_hot,conservative,1,bl,1.6,bl,0,high_charge_removal,not_bracketed,,12.8,,7
low_vdd_hot,conservative,1,bl,1.69,bl,0,high_charge_removal,not_bracketed,,12.8,,7
low_vdd_hot,conservative,1,bl,1.74,bl,0,high_charge_removal,not_bracketed,,12.8,,7
low_vdd_hot,conservative,1,blb,1.6,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
low_vdd_hot,conservative,1,blb,1.69,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
low_vdd_hot,conservative,1,blb,1.74,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
low_vdd_hot,conservative,1,q,1.6,q,0,high_charge_removal,bracketed,3.3656250000000005,3.3625000000000007,3.3687500000000004,13
low_vdd_hot,conservative,1,q,1.69,q,0,high_charge_removal,bracketed,1.034375,1.03125,1.0375,9
low_vdd_hot,conservative,1,q,1.74,q,0,high_charge_removal,bracketed,1.0406250000000001,1.0375,1.0437500000000002,9
low_vdd_hot,conservative,1,qb,1.6,0,qb,low_node_charge_injection,bracketed,2.1343750000000004,2.13125,2.1375,11
low_vdd_hot,conservative,1,qb,1.69,0,qb,low_node_charge_injection,bracketed,1.646875,1.6437500000000003,1.6500000000000001,11
low_vdd_hot,conservative,1,qb,1.74,0,qb,low_node_charge_injection,bracketed,1.515625,1.5125,1.5187499999999998,9
low_vdd_hot,stress_not_a_fit,1,bl,1.6,bl,0,high_charge_removal,not_bracketed,,12.8,,7
low_vdd_hot,stress_not_a_fit,1,bl,1.69,bl,0,high_charge_removal,not_bracketed,,12.8,,7
low_vdd_hot,stress_not_a_fit,1,bl,1.74,bl,0,high_charge_removal,not_bracketed,,12.8,,7
low_vdd_hot,stress_not_a_fit,1,blb,1.6,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
low_vdd_hot,stress_not_a_fit,1,blb,1.69,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
low_vdd_hot,stress_not_a_fit,1,blb,1.74,0,blb,low_node_charge_injection,not_bracketed,,12.8,,7
low_vdd_hot,stress_not_a_fit,1,q,1.6,q,0,high_charge_removal,bracketed,3.465625,3.4625000000000004,3.46875,13
low_vdd_hot,stress_not_a_fit,1,q,1.69,q,0,high_charge_removal,bracketed,1.028125,1.025,1.03125,9
low_vdd_hot,stress_not_a_fit,1,q,1.74,q,0,high_charge_removal,bracketed,1.0406250000000001,1.0375,1.0437500000000002,9
low_vdd_hot,stress_not_a_fit,1,qb,1.6,0,qb,low_node_charge_injection,bracketed,2.140625,2.1375,2.1437500000000003,11
