let_mev_cm2_mg,differential_flux_cm2_s_per_mev_cm2_mg,aps28_global_well_sram_sigma_cm2_per_bit,kintex7_blockram_sigma_cm2_per_bit,kintex7_configuration_sram_sigma_cm2_per_bit,pointwise_low_sigma_cm2_per_bit,pointwise_median_sigma_cm2_per_bit,pointwise_high_sigma_cm2_per_bit
0.0047929,2005.4550364011554,0.0,0.0,0.0,0.0,0.0,0.0
0.0048465999999999995,2005.4550364011554,0.0,0.0,0.0,0.0,0.0,0.0
0.0049009,2005.4550364011554,0.0,0.0,0.0,0.0,0.0,0.0
0.0049558,2005.4550364011554,0.0,0.0,0.0,0.0,0.0,0.0
0.005011300000000001,2005.4550364011554,0.0,0.0,0.0,0.0,0.0,0.0
0.0050674000000000005,2005.4550364011554,0.0,0.0,0.0,0.0,0.0,0.0
0.0051241,1675.7551681134596,0.0,0.0,0.0,0.0,0.0,0.0
0.0051814999999999995,1584.3445447327522,0.0,0.0,0.0,0.0,0.0,0.0
0.0052396000000000005,1584.3445447327522,0.0,0.0,0.0,0.0,0.0,0.0
0.005298300000000001,1584.3445447327522,0.0,0.0,0.0,0.0,0.0,0.0
0.0053576,1584.3445447327522,0.0,0.0,0.0,0.0,0.0,0.0
0.0054176,1584.3445447327522,0.0,0.0,0.0,0.0,0.0,0.0
0.0054783,1713.9292645383584,0.0,0.0,0.0,0.0,0.0,0.0
0.0055397,1771.230256875524,0.0,0.0,0.0,0.0,0.0,0.0
0.0056017,1771.230256875524,0.0,0.0,0.0,0.0,0.0,0.0
0.0056644,1771.230256875524,0.0,0.0,0.0,0.0,0.0,0.0
0.0057279,1771.230256875524,0.0,0.0,0.0,0.0,0.0,0.0
0.005791999999999999,1771.230256875524,0.0,0.0,0.0,0.0,0.0,0.0
0.005856900000000001,1353.2278857928638,0.0,0.0,0.0,0.0,0.0,0.0
0.005922500000000001,1348.6852480137004,0.0,0.0,0.0,0.0,0.0,0.0
0.0059889,1348.6852480137004,0.0,0.0,0.0,0.0,0.0,0.0
0.0060559,1348.6852480137004,0.0,0.0,0.0,0.0,0.0,0.0
0.0061238,1348.6852480137004,0.0,0.0,0.0,0.0,0.0,0.0
0.0061923,1348.6852480137004,0.0,0.0,0.0,0.0,0.0,0.0
0.0062617,1348.6852480137004,0.0,0.0,0.0,0.0,0.0,0.0
0.0063318,1383.0339652561458,0.0,0.0,0.0,0.0,0.0,0.0
0.0064028,1475.64001963137,0.0,0.0,0.0,0.0,0.0,0.0
0.0064745,1475.64001963137,0.0,0.0,0.0,0.0,0.0,0.0
0.006547,1475.64001963137,0.0,0.0,0.0,0.0,0.0,0.0
0.0066203,1475.64001963137,0.0,0.0,0.0,0.0,0.0,0.0
0.0066945,1721.181545905093,0.0,0.0,0.0,0.0,0.0,0.0
0.0067694999999999995,1599.1678890647586,0.0,0.0,0.0,0.0,0.0,0.0
0.0068453,1508.793305879299,0.0,0.0,0.0,0.0,0.0,0.0
0.0069219,1375.6222930901424,0.0,0.0,0.0,0.0,0.0,0.0
0.0069995000000000005,1168.4142540405876,0.0,0.0,0.0,0.0,0.0,0.0
0.0070779,1164.0310070606931,0.0,0.0,0.0,0.0,0.0,0.0
0.0071571,1164.5091794584998,0.0,0.0,0.0,0.0,0.0,0.0
0.0072373,1158.7711106848199,0.0,0.0,0.0,0.0,0.0,0.0
0.007318399999999999,1157.017811892862,0.0,0.0,0.0,0.0,0.0,0.0
0.007400299999999999,1157.0975072924964,0.0,0.0,0.0,0.0,0.0,0.0
0.0074832,1157.2568980917654,0.0,0.0,0.0,0.0,0.0,0.0
0.007567,973.0011341369302,0.0,0.0,0.0,0.0,0.0,0.0
0.007651799999999999,968.299105558498,0.0,0.0,0.0,0.0,0.0,0.0
0.0077375,968.299105558498,0.0,0.0,0.0,0.0,0.0,0.0
0.0078242,968.299105558498,0.0,0.0,0.0,0.0,0.0,0.0
0.0079118,966.54580676654,0.0,0.0,0.0,0.0,0.0,0.0
0.008000400000000001,966.3864159672712,0.0,0.0,0.0,0.0,0.0,0.0
0.00809,966.3864159672712,0.0,0.0,0.0,0.0,0.0,0.0
0.0081806,965.9082435694646,0.0,0.0,0.0,0.0,0.0,0.0
0.0082723,865.5717354296993,0.0,0.0,0.0,0.0,0.0,0.0
0.0083649,803.648409913736,0.0,0.0,0.0,0.0,0.0,0.0
0.0084586,803.648409913736,0.0,0.0,0.0,0.0,0.0,0.0
0.0085534,803.648409913736,0.0,0.0,0.0,0.0,0.0,0.0
0.008649200000000001,803.1702375159293,0.0,0.0,0.0,0.0,0.0,0.0
0.008746,803.090542116295,0.0,0.0,0.0,0.0,0.0,0.0
0.008844,803.090542116295,0.0,0.0,0.0,0.0,0.0,0.0
0.008943,802.0545019210471,0.0,0.0,0.0,0.0,0.0,0.0
0.009043200000000001,801.6560249228748,0.0,0.0,0.0,0.0,0.0,0.0
