proton_energy_mev,differential_flux_cm2_s_mev,measured_bands_partial_sigma_cm2_per_bit,cross_technology_log_bridge_sigma_cm2_per_bit,gap_plateau_ceiling_sigma_cm2_per_bit
180.0,0.027125923173575796,5.7333070602252314e-15,5.7333070602252314e-15,5.7333070602252314e-15
200.0,0.021777564904108242,5.7e-15,5.7e-15,5.7e-15
220.0,0.01681891713885312,5.7e-15,5.7e-15,5.7e-15
250.0,0.011963873393122774,5.7e-15,5.7e-15,5.7e-15
280.0,0.008782433039715758,5.7e-15,5.7e-15,5.7e-15
320.0,0.00011847518109656485,5.7e-15,5.7e-15,5.7e-15
350.0,0.0001150562484522472,5.7e-15,5.7e-15,5.7e-15
400.0,0.00010844949982255176,5.7e-15,5.7e-15,5.7e-15
450.0,0.00010255204024960289,5.7e-15,5.7e-15,5.7e-15
500.0,6.37650862015152e-05,5.7e-15,5.7e-15,5.7e-15
550.0,7.086754021693688e-05,5.7e-15,5.7e-15,5.7e-15
630.0,7.97910341140056e-05,5.7e-15,5.7e-15,5.7e-15
710.0,8.598336666560193e-05,5.7e-15,5.7e-15,5.7e-15
800.0,9.200833887796591e-05,5.7e-15,5.7e-15,5.7e-15
900.0,9.671833699636157e-05,5.7e-15,5.7e-15,5.7e-15
1000.0,9.961924954305534e-05,5.7e-15,5.7e-15,5.7e-15
1100.0,0.00010055965525874178,5.7e-15,5.7e-15,5.7e-15
1200.0,0.00010055168571877833,5.7e-15,5.7e-15,5.7e-15
1400.0,9.886214324652811e-05,5.7e-15,5.7e-15,5.7e-15
1600.0,9.617640827884734e-05,5.7e-15,5.7e-15,5.7e-15
1800.0,9.211194289749069e-05,5.7e-15,5.7e-15,5.7e-15
2000.0,8.843001543437937e-05,5.7e-15,5.7e-15,5.7e-15
2200.0,8.474011843130459e-05,5.7e-15,5.7e-15,5.7e-15
2500.0,7.946029820552265e-05,5.7e-15,5.7e-15,5.7e-15
2800.0,7.396769126271676e-05,5.7e-15,5.7e-15,5.7e-15
3200.0,6.709555695223864e-05,5.7e-15,5.7e-15,5.7e-15
3500.0,6.21456756809433e-05,5.7e-15,5.7e-15,5.7e-15
4000.0,5.436581076862885e-05,5.7e-15,5.7e-15,5.7e-15
4500.0,4.751041249207395e-05,5.7e-15,5.7e-15,5.7e-15
5000.0,4.1618531597099484e-05,5.7e-15,5.7e-15,5.7e-15
5500.0,3.657859452421723e-05,5.7e-15,5.7e-15,5.7e-15
6300.0,3.0164708761637157e-05,5.7e-15,5.7e-15,5.7e-15
7100.0,2.5323213233844666e-05,5.7e-15,5.7e-15,5.7e-15
8000.0,2.1392636123873877e-05,5.7e-15,5.7e-15,5.7e-15
9000.0,1.811635824490187e-05,5.7e-15,5.7e-15,5.7e-15
10000.0,1.5195521848299488e-05,5.7e-15,5.7e-15,5.7e-15
11000.0,1.277756342339045e-05,5.7e-15,5.7e-15,5.7e-15
12000.0,1.0784381478533e-05,5.7e-15,5.7e-15,5.7e-15
14000.0,7.800984193217577e-06,5.7e-15,5.7e-15,5.7e-15
16000.0,5.811149455144773e-06,5.7e-15,5.7e-15,5.7e-15
18000.0,4.421739857917872e-06,5.7e-15,5.7e-15,5.7e-15
20000.0,3.4389361896259045e-06,5.7e-15,5.7e-15,5.7e-15
30000.0,1.2435670158958683e-06,5.7e-15,5.7e-15,5.7e-15
40000.0,5.883433182613214e-07,5.7e-15,5.7e-15,5.7e-15
50000.0,3.262092097837073e-07,5.7e-15,5.7e-15,5.7e-15
60000.0,2.005853513399328e-07,5.7e-15,5.7e-15,5.7e-15
70000.0,1.3273268809116693e-07,5.7e-15,5.7e-15,5.7e-15
80000.0,9.270168885478557e-08,5.7e-15,5.7e-15,5.7e-15
90000.0,6.748686136444376e-08,5.7e-15,5.7e-15,5.7e-15
100000.0,0.0,5.7e-15,5.7e-15,5.7e-15
