level	sample	node	total_rows	segment_rows	array_columns	column_mux_ratio	simultaneous_output_bits	injection_time_ns	qcrit_fc	qcrit_status	n_present	par_scale	dvth_cell_mv	dvth_ref_mv	static_sa_offset_mv	dynamic_noise_mv	equivalent_dvth_sa_mv	vth_sigma_mv	mobility_process_scale	combined_mobility_scale	tid_global_dvth_n_mv	tid_global_dvth_p_mv	tid_off_current_scale
low	34	gbl	2048	256	128	4	32	1.4	5.46875	resolved	130	0.9705397736312865	-50.200110310018246	27.906242698255316	-3.925144466924143	-1.6872388537228464	-5.612383320646989	24.0	1.0828396722885787	1.0828396722885787	0.0	0.0	1.001938786
low	34	sa	2048	256	128	4	32	2.15	3.90625	resolved	130	0.9705397736312865	-50.200110310018246	27.906242698255316	-3.925144466924143	-3.3141764647007177	-7.23932093162486	24.0	1.0828396722885787	1.0828396722885787	0.0	0.0	1.001938786
low	35	gbl	2048	256	128	4	32	1.4	7.421875	resolved	124	1.0015204341160027	12.948203809623475	14.438380303499562	-10.008854038010845	-4.264559806538414	-14.27341384454926	24.0	0.9509278519217715	0.9509278519217715	0.0	0.0	1.001938786
low	35	sa	2048	256	128	4	32	2.15	6.25	resolved	124	1.0015204341160027	12.948203809623475	14.438380303499562	-10.008854038010845	5.036045950862068	-4.972808087148778	24.0	0.9509278519217715	0.9509278519217715	0.0	0.0	1.001938786
low	36	gbl	2048	256	128	4	32	1.55	8.59375	resolved	123	1.025587785279704	-24.784371715812444	42.01760362315608	3.2553082931493393	9.380380825548547	12.635689118697886	24.0	1.1022976910274929	1.1022976910274929	0.0	0.0	1.001938786
low	36	sa	2048	256	128	4	32	2.35	12.890625	resolved	123	1.025587785279704	-24.784371715812444	42.01760362315608	3.2553082931493393	5.012549626490124	8.267857919639463	24.0	1.1022976910274929	1.1022976910274929	0.0	0.0	1.001938786
low	37	gbl	2048	256	128	4	32	1.55	14.0625	resolved	132	0.9961414476769932	43.64098898821008	-32.818959920074164	0.444555747671029	7.779437061342443	8.223992809013472	24.0	1.1181775968100314	1.1181775968100314	0.0	0.0	1.001938786
low	37	sa	2048	256	128	4	32	2.35	14.453125	resolved	132	0.9961414476769932	43.64098898821008	-32.818959920074164	0.444555747671029	2.4543887954230295	2.8989445430940584	24.0	1.1181775968100314	1.1181775968100314	0.0	0.0	1.001938786
low	38	gbl	2048	256	128	4	32	1.4	11.328125	resolved	129	0.9445545767826216	4.143416672615538	-11.080077215929403	-5.648429904104022	9.76569273279379	4.117262828689768	24.0	0.9758138425272784	0.9758138425272784	0.0	0.0	1.001938786
low	38	sa	2048	256	128	4	32	2.42	37.109375	resolved	129	0.9445545767826216	4.143416672615538	-11.080077215929403	-5.648429904104022	-1.7260416959388585	-7.374471600042881	24.0	0.9758138425272784	0.9758138425272784	0.0	0.0	1.001938786
low	39	gbl	2048	256	128	4	32	1.4	9.375	resolved	135	0.9577639319966083	-12.735320713817709	-31.977762362398863	-4.274857827765834	-6.094652436403683	-10.369510264169516	24.0	0.9760584117589154	0.9760584117589154	0.0	0.0	1.001938786
low	39	sa	2048	256	128	4	32	2.35	13.28125	resolved	135	0.9577639319966083	-12.735320713817709	-31.977762362398863	-4.274857827765834	-0.7889520338590722	-5.063809861624906	24.0	0.9760584117589154	0.9760584117589154	0.0	0.0	1.001938786
low	40	gbl	2048	256	128	4	32	1.62	10.546875	resolved	126	0.9551825756401742	2.6647682801601853	-12.246003489689752	5.324792569716206	0.6418727498582767	5.966665319574483	24.0	1.0919691114702004	1.0919691114702004	0.0	0.0	1.001938786
low	40	sa	2048	256	128	4	32	2.35	13.671875	resolved	126	0.9551825756401742	2.6647682801601853	-12.246003489689752	5.324792569716206	1.99242885185474	7.317221421570946	24.0	1.0919691114702004	1.0919691114702004	0.0	0.0	1.001938786
low	41	gbl	2048	256	128	4	32	1.4	10.9375	resolved	128	0.9622165192396362	9.648096063113137	-14.189559503813097	1.1028711308961887	0.7221663453161121	1.8250374762123007	24.0	1.1423938072251842	1.1423938072251842	0.0	0.0	1.001938786
low	41	sa	2048	256	128	4	32	2.25	11.328125	resolved	128	0.9622165192396362	9.648096063113137	-14.189559503813097	1.1028711308961887	3.2959969868819616	4.39886811777815	24.0	1.1423938072251842	1.1423938072251842	0.0	0.0	1.001938786
low	42	gbl	2048	256	128	4	32	1.4	11.328125	resolved	132	0.9937706262943563	1.527130382321813	-42.00212562445331	-0.8701294673520794	-4.008230935182146	-4.878360402534225	24.0	0.9430878381035939	0.9430878381035939	0.0	0.0	1.001938786
low	42	sa	2048	256	128	4	32	2.42	38.671875	resolved	132	0.9937706262943563	1.527130382321813	-42.00212562445331	-0.8701294673520794	3.181750745513762	2.3116212781616827	24.0	0.9430878381035939	0.9430878381035939	0.0	0.0	1.001938786
low	43	gbl	2048	256	128	4	32	1.4	10.15625	resolved	131	1.0257370929312186	-14.238581597525414	6.720512566315868	3.4530496577822984	1.2740905700219038	4.7271402278042025	24.0	0.9740382332619568	0.9740382332619568	0.0	0.0	1.001938786
low	43	sa	2048	256	128	4	32	2.25	10.15625	resolved	131	1.0257370929312186	-14.238581597525414	6.720512566315868	3.4530496577822984	4.693882676434415	8.146932334216713	24.0	0.9740382332619568	0.9740382332619568	0.0	0.0	1.001938786
low	44	gbl	2048	256	128	4	32	1.55	8.203125	resolved	136	0.9349264242908096	-0.1503163058027808	15.002207122598737	-3.5692692820961764	0.6676446919035444	-2.901624590192632	24.0	1.076959082006319	1.076959082006319	0.0	0.0	1.001938786
low	44	sa	2048	256	128	4	32	2.42	36.328125	resolved	136	0.9349264242908096	-0.1503163058027808	15.002207122598737	-3.5692692820961764	4.343926187696931	0.7746569056007542	24.0	1.076959082006319	1.076959082006319	0.0	0.0	1.001938786
