level	proton_energy_mev	sigma_cm2_per_active_read_bit	sigma_ci95_low	sigma_ci95_high	failed_joint_samples	joint_samples	model
low	50.18276804993071	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	58.51592842296028	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	68.23286184201899	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	79.56335241748049	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	92.77534133867852	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	108.18126309390202	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	126.14543385908233	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	147.09266677431748	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	171.51831784058382	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
low	200.0	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	0.5	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	0.5830281060297255	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	0.6798435448412177	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	0.7927357886906198	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	0.9243744909245456	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	1.077872617411859	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	1.256860061341878	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	1.4655694822171197	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	1.7089363989440256	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	1.9927159040031892	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
