level	let_mev_cm2_mg	sigma_cm2_per_active_read_bit	sigma_ci95_low	sigma_ci95_high	failed_joint_samples	joint_samples	model
high	2.0296243019878424	1.0625e-09	8.215519869863425e-10	1.2963700055395572e-09	68	128	ngspice_Qcrit_plus_RPP_charge_collection
high	2.231616199336572	1.140625e-09	8.971880534865864e-10	1.3681364296966872e-09	73	128	ngspice_Qcrit_plus_RPP_charge_collection
high	2.4537106972279603	1.2187500000000002e-09	9.74898491669112e-10	1.4378284821715359e-09	78	128	ngspice_Qcrit_plus_RPP_charge_collection
high	2.697908442984415	1.34375e-09	1.1020904415170734e-09	1.5464805173753733e-09	86	128	ngspice_Qcrit_plus_RPP_charge_collection
high	2.9664091919840407	1.46875e-09	1.2328547011807734e-09	1.6515602427634717e-09	94	128	ngspice_Qcrit_plus_RPP_charge_collection
high	3.2616316232560276	1.5937500000000002e-09	1.3665353079477315e-09	1.7537236210483123e-09	102	128	ngspice_Qcrit_plus_RPP_charge_collection
high	3.5862351271600956	1.6875e-09	1.4738772294208972e-09	1.8232646883639955e-09	108	128	ngspice_Qcrit_plus_RPP_charge_collection
high	3.943143761415333	1.734375e-09	1.526732969005551e-09	1.8588504431737662e-09	111	128	ngspice_Qcrit_plus_RPP_charge_collection
high	4.3355725912766045	1.75e-09	1.5458905862780564e-09	1.869173324032736e-09	112	128	ngspice_Qcrit_plus_RPP_charge_collection
high	4.767056651133094	1.7812500000000002e-09	1.5836418090426008e-09	1.8903830975311413e-09	114	128	ngspice_Qcrit_plus_RPP_charge_collection
high	5.241482788417792	1.8125e-09	1.6248406451832931e-09	1.9081452576533985e-09	116	128	ngspice_Qcrit_plus_RPP_charge_collection
high	5.763124676680697	1.859375e-09	1.6840406690214559e-09	1.93738672820966e-09	119	128	ngspice_Qcrit_plus_RPP_charge_collection
high	6.336681313226615	1.90625e-09	1.7430522313683303e-09	1.96681666025721e-09	122	128	ngspice_Qcrit_plus_RPP_charge_collection
high	6.967319348107885	1.9375e-09	1.7876624465981206e-09	1.9811674412903698e-09	124	128	ngspice_Qcrit_plus_RPP_charge_collection
high	7.66071962577526	1.9531250000000003e-09	1.814379402806258e-09	1.983930983213707e-09	125	128	ngspice_Qcrit_plus_RPP_charge_collection
high	8.423128358638493	1.9531250000000003e-09	1.814379402806258e-09	1.983930983213707e-09	125	128	ngspice_Qcrit_plus_RPP_charge_collection
high	9.261413393512631	1.9531250000000003e-09	1.814379402806258e-09	1.983930983213707e-09	125	128	ngspice_Qcrit_plus_RPP_charge_collection
high	10.183126077803173	1.96875e-09	1.8364030224976117e-09	1.991387861653828e-09	126	128	ngspice_Qcrit_plus_RPP_charge_collection
high	11.196569282726479	1.96875e-09	1.8364030224976117e-09	1.991387861653828e-09	126	128	ngspice_Qcrit_plus_RPP_charge_collection
high	12.31087219632451	1.96875e-09	1.8364030224976117e-09	1.991387861653828e-09	126	128	ngspice_Qcrit_plus_RPP_charge_collection
high	13.53607256001634	1.96875e-09	1.8364030224976117e-09	1.991387861653828e-09	126	128	ngspice_Qcrit_plus_RPP_charge_collection
high	14.883207089480676	1.96875e-09	1.8364030224976117e-09	1.991387861653828e-09	126	128	ngspice_Qcrit_plus_RPP_charge_collection
high	16.364410894388737	1.96875e-09	1.8364030224976117e-09	1.991387861653828e-09	126	128	ngspice_Qcrit_plus_RPP_charge_collection
high	17.993026792569662	1.984375e-09	1.8600349242062521e-09	1.9972364580766624e-09	127	128	ngspice_Qcrit_plus_RPP_charge_collection
high	19.783725503320237	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	21.752637802570973	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	23.917499830374645	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	26.297812859659718	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	28.915018965460593	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	31.79269417706873	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	34.95676085303643	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	38.43572119212726	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	42.26091398369991	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	46.466796910356955	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	51.09125694586618	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	56.175951644446236	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	61.76668439578286	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	67.91381702610504	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	74.67272346207035	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	82.10428854410439	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	90.27545648254898	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	99.25983389716369	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	109.13835287221285	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
high	120.0	2e-09	1.8867518804143894e-09	2e-09	128	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.01	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.010995218165011596	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.012089482249620098	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.013292649483660822	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.014615558106387948	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.016070124998313926	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.01766945302954682	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.01942794909162924	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.021361453876120245	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.02348738456897747	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.025824891746143414	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.028395031883665423	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.031220957036336136	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.03432812339349699	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.037744520590693754	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.041500923842845025	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.045631171170161265	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.050172468214091034	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.055165723389104096	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.06065591638938824	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.06669250337000263	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.07332986245239502	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.08062778356743756	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.0886520070485313	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.09747481582647473	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.10717568656064148	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.1178420055719155	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.1295698560265723	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.1424648834621305	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.15664324745190775	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.17223266798096232	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.18937357595926882	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.20822037823605558	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.22894284851066635	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.25172765666939767	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.27678005032471653	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
