path_id,rows_per_local_bitline,column_mux_ratio,pvt_corner,tid_model_corner,vdd_v,temperature_c,tid_krad_si,local_bitline_capacitance_ff,global_bitline_capacitance_ff,read_latency_s,write_latency_s,selected_read_path_energy_j,selected_write_path_energy_j,minimum_pre_sense_margin_v,minimum_final_read_margin_v,minimum_final_write_margin_v,read_correct_both_values,write_correct_both_values,timing_proxy_cycle_s,timing_proxy_max_frequency_hz,configured_500mhz_feasible,is_stress_not_a_fit
r128_m1_low_vdd_hot__tid_conservative,128,1,low_vdd_hot,conservative,0.81,85.0,14.32,20.0,2.75,6.91317e-10,1.05153e-10,1.290915e-14,6.91184e-16,0.09372600000000009,0.437232,0.809998879165,True,True,1.6413170000000002e-09,609266826.5788997,True,False
r128_m1_low_vdd_hot__tid_stress_not_a_fit,128,1,low_vdd_hot,stress_not_a_fit,0.81,85.0,14.32,20.0,2.75,6.87772e-10,1.05087e-10,1.28053e-14,6.8764e-16,0.09445599999999998,0.44073999999999997,0.80999888183,True,True,1.637772e-09,610585600.4376677,True,True
r128_m1_nominal__tid_central,128,1,nominal,central,0.9,27.0,14.32,20.0,2.75,4.35885e-10,4.99816e-11,1.992995e-14,9.06539e-16,0.23995699999999998,0.8850429000000001,0.8999999358008001,True,True,1.3858850000000001e-09,721560591.2467484,True,False
r128_m1_nominal__tid_conservative,128,1,nominal,conservative,0.9,27.0,14.32,20.0,2.75,4.35968e-10,5.00729e-11,1.99227e-14,9.0418e-16,0.239842,0.8848385000000001,0.8999999355345,True,True,1.3859680000000001e-09,721517379.9106473,True,False
r128_m1_nominal__tid_stress_not_a_fit,128,1,nominal,stress_not_a_fit,0.9,27.0,14.32,20.0,2.75,4.35163e-10,5.00202e-11,1.991185e-14,9.00165e-16,0.24092999999999998,0.8850296999999999,0.8999999353336,True,True,1.385163e-09,721936696.2588519,True,True
r128_m2_high_vdd_cold__tid_central,128,2,high_vdd_cold,central,0.99,-40.0,14.32,20.0,3.5,2.86827e-10,2.60955e-11,2.48445e-14,1.32063e-15,0.591639,0.9899984344689999,0.9899999589824,True,True,1.236827e-09,808520512.5696641,True,False
r128_m2_high_vdd_cold__tid_conservative,128,2,high_vdd_cold,conservative,0.99,-40.0,14.32,20.0,3.5,2.86269e-10,2.60433e-11,2.48446e-14,1.317145e-15,0.592751,0.989998434265,0.9899999588301,True,True,1.236269e-09,808885444.8344171,True,False
r128_m2_high_vdd_cold__tid_stress_not_a_fit,128,2,high_vdd_cold,stress_not_a_fit,0.99,-40.0,14.32,20.0,3.5,2.85029e-10,2.59304e-11,2.484515e-14,1.31192e-15,0.595143,0.9899984385949999,0.9899999585408,True,True,1.2350290000000001e-09,809697586.0485866,True,True
r128_m2_high_vdd_hot__tid_central,128,2,high_vdd_hot,central,0.99,85.0,14.32,20.0,3.5,4.74526e-10,5.55065e-11,2.4594400000000002e-14,1.12004e-15,0.21838800000000003,0.9171950999999999,0.989997767595,True,True,1.4245260000000002e-09,701987889.3049335,True,False
r128_m2_high_vdd_hot__tid_conservative,128,2,high_vdd_hot,conservative,0.99,85.0,14.32,20.0,3.5,4.75094e-10,5.57064e-11,2.45643e-14,1.11762e-15,0.217862,0.9160134999999999,0.9899977678730001,True,True,1.4250940000000001e-09,701708097.8517908,True,False
