pvt_corner,tid_corner,condition_id,sample_id,seed,vdd_v,temperature_c,tid_dvn_v,tid_dvp_v,mobility_scale,cnode_ff,cbl_ff,cgbl_ff,dvth_nq_v,dvth_nqb_v,dvth_axq_v,dvth_axqb_v,dvth_pq_v,dvth_pqb_v,dvth_san_gbl_v,dvth_san_gblb_v,dvth_sap_gbl_v,dvth_sap_gblb_v,dvth_muxn_d_v,dvth_muxn_db_v,dvth_eq_v,dvth_eqg_v,dvth_muxp_d_v,dvth_muxp_db_v,dvth_pre_bl_v,dvth_pre_blb_v,dvth_pre_gbl_v,dvth_pre_gblb_v,w_nq_nm,w_nqb_nm,w_pq_nm,w_pqb_nm,w_axq_nm,w_axqb_nm,operation,stored_or_desired_bit,decision_margin_v,pre_sense_margin_v,operation_error,read_error_given_correct_state,read_error_given_wrong_state,read_disturb,rail_margin_over_vdd
high_vdd_cold,stress_not_a_fit,high_vdd_cold__tid_stress_not_a_fit,65,32402114,0.99,-40.0,-0.003,-0.003,0.98,0.3402603837515896,20.850485103142592,4.817051329196152,0.0038497281075674586,0.0026252753420085055,0.005938337892259514,0.003264779289350991,0.016689768059543527,-0.014907781668946265,-0.012039814411782212,0.005156056582275818,-0.004521400575014323,-0.004329085379829015,0.00045902044442101657,0.008586337519869265,0.0001259622366227113,-6.151902362127757e-05,0.004791473473527753,-0.01480798548132365,-0.010409973992838266,0.0031909373630006396,-0.015226287042410191,0.006986286317643598,125.28194355910304,122.94665241027302,88.84263744273137,89.60963301562008,100.08991164196408,97.44124829613231,read,1,0.9899812869,0.515562,False,False,True,False,0.9999810978787879
high_vdd_cold,stress_not_a_fit,high_vdd_cold__tid_stress_not_a_fit,65,32402114,0.99,-40.0,-0.003,-0.003,0.98,0.3402603837515896,20.850485103142592,4.817051329196152,0.0038497281075674586,0.0026252753420085055,0.005938337892259514,0.003264779289350991,0.016689768059543527,-0.014907781668946265,-0.012039814411782212,0.005156056582275818,-0.004521400575014323,-0.004329085379829015,0.00045902044442101657,0.008586337519869265,0.0001259622366227113,-6.151902362127757e-05,0.004791473473527753,-0.01480798548132365,-0.010409973992838266,0.0031909373630006396,-0.015226287042410191,0.006986286317643598,125.28194355910304,122.94665241027302,88.84263744273137,89.60963301562008,100.08991164196408,97.44124829613231,write,0,0.9899999557045,,False,,,,0.9999999552570706
high_vdd_cold,stress_not_a_fit,high_vdd_cold__tid_stress_not_a_fit,65,32402114,0.99,-40.0,-0.003,-0.003,0.98,0.3402603837515896,20.850485103142592,4.817051329196152,0.0038497281075674586,0.0026252753420085055,0.005938337892259514,0.003264779289350991,0.016689768059543527,-0.014907781668946265,-0.012039814411782212,0.005156056582275818,-0.004521400575014323,-0.004329085379829015,0.00045902044442101657,0.008586337519869265,0.0001259622366227113,-6.151902362127757e-05,0.004791473473527753,-0.01480798548132365,-0.010409973992838266,0.0031909373630006396,-0.015226287042410191,0.006986286317643598,125.28194355910304,122.94665241027302,88.84263744273137,89.60963301562008,100.08991164196408,97.44124829613231,write,1,0.9899999532861999,,False,,,,0.9999999528143434
high_vdd_cold,stress_not_a_fit,high_vdd_cold__tid_stress_not_a_fit,66,32402115,0.99,-40.0,-0.003,-0.003,0.98,0.3398544961855878,17.967712350641182,4.824654295064412,-0.018921700531978176,-0.024224296732787674,-0.004748656440356606,0.0031947174843129176,0.012346602666883727,-0.017016712779874554,0.002298934736469263,-0.016513947223491726,-0.0014209739866398437,-0.007206282708743423,-0.013424866763900811,0.008486684240915265,0.007496644422720814,-0.006021477929129583,0.012940348120986052,0.004059116287094784,0.002550717683752822,-0.0015686533769223062,-0.000792153882932601,-0.007081275353904032,119.61195708933101,121.479170377022,89.51897601238025,90.91627819022916,96.30083207904022,101.1548061578325,read,0,0.98999438502,0.573103,False,False,True,False,0.9999943283030304
high_vdd_cold,stress_not_a_fit,high_vdd_cold__tid_stress_not_a_fit,66,32402115,0.99,-40.0,-0.003,-0.003,0.98,0.3398544961855878,17.967712350641182,4.824654295064412,-0.018921700531978176,-0.024224296732787674,-0.004748656440356606,0.0031947174843129176,0.012346602666883727,-0.017016712779874554,0.002298934736469263,-0.016513947223491726,-0.0014209739866398437,-0.007206282708743423,-0.013424866763900811,0.008486684240915265,0.007496644422720814,-0.006021477929129583,0.012940348120986052,0.004059116287094784,0.002550717683752822,-0.0015686533769223062,-0.000792153882932601,-0.007081275353904032,119.61195708933101,121.479170377022,89.51897601238025,90.91627819022916,96.30083207904022,101.1548061578325,read,1,0.98999460304,0.5825859999999999,False,False,True,False,0.9999945485252525
high_vdd_cold,stress_not_a_fit,high_vdd_cold__tid_stress_not_a_fit,66,32402115,0.99,-40.0,-0.003,-0.003,0.98,0.3398544961855878,17.967712350641182,4.824654295064412,-0.018921700531978176,-0.024224296732787674,-0.004748656440356606,0.0031947174843129176,0.012346602666883727,-0.017016712779874554,0.002298934736469263,-0.016513947223491726,-0.0014209739866398437,-0.007206282708743423,-0.013424866763900811,0.008486684240915265,0.007496644422720814,-0.006021477929129583,0.012940348120986052,0.004059116287094784,0.002550717683752822,-0.0015686533769223062,-0.000792153882932601,-0.007081275353904032,119.61195708933101,121.479170377022,89.51897601238025,90.91627819022916,96.30083207904022,101.1548061578325,write,0,0.9899999511176,,False,,,,0.9999999506238384
high_vdd_cold,stress_not_a_fit,high_vdd_cold__tid_stress_not_a_fit,66,32402115,0.99,-40.0,-0.003,-0.003,0.98,0.3398544961855878,17.967712350641182,4.824654295064412,-0.018921700531978176,-0.024224296732787674,-0.004748656440356606,0.0031947174843129176,0.012346602666883727,-0.017016712779874554,0.002298934736469263,-0.016513947223491726,-0.0014209739866398437,-0.007206282708743423,-0.013424866763900811,0.008486684240915265,0.007496644422720814,-0.006021477929129583,0.012940348120986052,0.004059116287094784,0.002550717683752822,-0.0015686533769223062,-0.000792153882932601,-0.007081275353904032,119.61195708933101,121.479170377022,89.51897601238025,90.91627819022916,96.30083207904022,101.1548061578325,write,1,0.9899999486321,,False,,,,0.9999999481132322
high_vdd_cold,stress_not_a_fit,high_vdd_cold__tid_stress_not_a_fit,67,32402116,0.99,-40.0,-0.003,-0.003,0.98,0.2980906582660404,21.09800214360812,5.22402424475243,0.001546557970936716,-0.0244245704092223,0.019755736296143325,-0.03442105619535392,0.010891038040578262,-0.017183862662019038,0.01638639716309456,-0.01418774695206676,-0.015644883350520104,-0.014296341902127505,-0.010195052101307193,-0.013013556064391668,-0.020159881203683606,-0.00531701714122252,-0.004126699426818823,0.0024627787983805202,0.00949747965582113,-0.012982141124502838,0.0002337378578202709,-0.0053806357212151604,118.50798274646849,119.10527297073375,92.66675494987994,94.12255561944886,101.50959878397623,93.8011991160412,read,0,0.9899736352,0.49468699999999993,False,False,True,False,0.9999733688888889
high_vdd_cold,stress_not_a_fit,high_vdd_cold__tid_stress_not_a_fit,67,32402116,0.99,-40.0,-0.003,-0.003,0.98,0.2980906582660404,21.09800214360812,5.22402424475243,0.001546557970936716,-0.0244245704092223,0.019755736296143325,-0.03442105619535392,0.010891038040578262,-0.017183862662019038,0.01638639716309456,-0.01418774695206676,-0.015644883350520104,-0.014296341902127505,-0.010195052101307193,-0.013013556064391668,-0.020159881203683606,-0.00531701714122252,-0.004126699426818823,0.0024627787983805202,0.00949747965582113,-0.012982141124502838,0.0002337378578202709,-0.0053806357212151604,118.50798274646849,119.10527297073375,92.66675494987994,94.12255561944886,101.50959878397623,93.8011991160412,read,1,0.98997909807,0.5284610000000001,False,False,True,False,0.9999788869393939
high_vdd_cold,stress_not_a_fit,high_vdd_cold__tid_stress_not_a_fit,67,32402116,0.99,-40.0,-0.003,-0.003,0.98,0.2980906582660404,21.09800214360812,5.22402424475243,0.001546557970936716,-0.0244245704092223,0.019755736296143325,-0.03442105619535392,0.010891038040578262,-0.017183862662019038,0.01638639716309456,-0.01418774695206676,-0.015644883350520104,-0.014296341902127505,-0.010195052101307193,-0.013013556064391668,-0.020159881203683606,-0.00531701714122252,-0.004126699426818823,0.0024627787983805202,0.00949747965582113,-0.012982141124502838,0.0002337378578202709,-0.0053806357212151604,118.50798274646849,119.10527297073375,92.66675494987994,94.12255561944886,101.50959878397623,93.8011991160412,write,0,0.9899999539324,,False,,,,0.9999999534670707
